subject_id,x,y,rx,ry,angle
21796261,255.97,254.62,151.64,75.82,-64.62
21796262,270.97,279.62,145.91,72.95,124.67
21796260,255.97,258.62,130.82,65.41,44.69
21796261,260.97,253.62,149.91,74.96,-135.54
21796262,260.97,264.62,37.44,156.73,-49.40
21796261,259.97,258.62,29.41,154.40,-233.43
21796260,257.97,255.62,29.73,162.73,43.01
21796262,251.97,258.62,37.54,162.27,-138.75
21796261,256.97,262.62,128.10,124.00,-269.54
21796260,260.97,254.62,129.00,133.02,-179.14
21796262,255.97,261.62,138.13,133.03,-88.71
21796261,259.97,259.62,128.00,127.02,0.90
21796260,256.97,254.62,121.00,60.50,-0.47
21796261,262.97,261.62,124.00,62.00,-180.00
21796262,259.97,261.62,61.00,137.00,-269.58
21796261,259.97,257.62,61.01,128.04,-89.06
21796260,257.97,254.62,55.01,51.73,1.04
21796261,255.97,260.62,77.01,78.54,0.74
21796262,31.97,35.62,24.02,26.00,0.00
21796260,468.97,34.62,28.02,28.00,0.00
21796261,26.97,484.62,28.00,29.02,0.00
21796260,468.97,476.62,32.00,32.02,-1.79
